OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1295,1432968,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6C,1411,2020-01-17T00:07:06.000Z
1829,1433993,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6C,1422,2020-01-21T00:00:38.000Z
1830,1433994,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,1,1B,478,2020-01-15T00:15:42.000Z
1833,1433997,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6C,1448,2020-01-19T00:20:52.000Z
1840,1434005,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,5,5C,1606,2020-01-22T00:17:40.000Z
1942,1434336,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2A,233,2020-01-17T00:14:00.000Z
1943,1434337,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6C,1404,2020-01-23T00:11:04.000Z
1944,1434338,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,523,2020-01-23T00:18:13.000Z
1945,1434339,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,1,1A,307,2020-01-23T00:19:02.000Z
1957,1434385,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,4,4C,1251,2020-01-06T00:19:12.000Z
170,1430478,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,564,2020-01-03T00:16:50.000Z
258,1430675,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6B,1054,2020-01-01T00:22:35.000Z
487,1431206,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,546,2020-01-05T00:21:15.000Z
495,1431222,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,1,1C,449,2020-01-03T00:05:41.000Z
755,1431811,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,564,2020-01-03T00:19:59.000Z
852,1432018,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6A,1051,2020-01-10T00:15:55.000Z
891,1432079,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,5,5C,1623,2020-01-02T00:17:04.000Z
